{'academic_degree': 'Доктор наук', 'address': 'Аллея Плетешковская 439', 'age': 18, 'passport_number': 102808, 'snils': '00060862696', 'telephone': '+7-(968)-542-59-85', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 87, 'worldview': 'Пантеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Чкалова 171', 'age': 30, 'passport_number': 469108, 'snils': '86155243309', 'telephone': '+7-(999)-673-82-29', 'university': 'Новосибирский технический госуниверситет', 'weight': 88, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'Аллея Строгинское 1262', 'age': 30, 'passport_number': 919179, 'snils': '02481683656', 'telephone': '+7-(969)-842-67-74', 'university': 'САУ им. С.П. Королева', 'weight': 80, 'worldview': 'Пантеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Шереметьевская 1342', 'age': 30, 'passport_number': 754469, 'snils': '64917226115', 'telephone': '+7-(936)-651-76-59', 'university': 'Томский национальный исследовательский политех', 'weight': 50, 'worldview': 'Атеизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Хрущевская 790', 'age': 30, 'passport_number': 482908, 'snils': '00837843361', 'telephone': '+7-(933)-266-83-73', 'university': 'Филиал Российской правовой академии', 'weight': 90, 'worldview': 'Деизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Зеленодольская 749', 'age': 30, 'passport_number': 879688, 'snils': '87006726507', 'telephone': '+7-(968)-721-34-75', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 54, 'worldview': 'Агностицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Игральная 1326', 'age': 30, 'passport_number': 239883, 'snils': '10723397542', 'telephone': '+7-(999)-974-80-29', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 88, 'worldview': 'Католицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Пыжевская 34', 'age': 30, 'passport_number': 331862, 'snils': '08075852889', 'telephone': '+7-(923)-908-45-57', 'university': 'Новосибирский технический госуниверситет', 'weight': 82, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Гражданская 4-я 1392', 'age': 31, 'passport_number': 618840, 'snils': '96926997210', 'telephone': '+7-(960)-378-04-04', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 79, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Новые Черемушки 32а 908', 'age': 31, 'passport_number': 874991, 'snils': '14926397502', 'telephone': '+7-(968)-408-70-88', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 69, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Парковая 13-я 1000', 'age': 31, 'passport_number': 795027, 'snils': '58618786059', 'telephone': '+7-(935)-630-91-15', 'university': 'Московский авиационный институт', 'weight': 53, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Маршала Неделина 444', 'age': 31, 'passport_number': 341802, 'snils': '03972005149', 'telephone': '+7-(934)-487-37-75', 'university': 'Филиал Российской правовой академии', 'weight': 82, 'worldview': 'Деизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Академика Семенова 146', 'age': 31, 'passport_number': 188735, 'snils': '69099122037', 'telephone': '+7-(968)-328-13-41', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 89, 'worldview': 'Агностицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Жуков 136', 'age': 31, 'passport_number': 842632, 'snils': '62250404643', 'telephone': '+7-(909)-352-84-61', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 73, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Водников 476', 'age': 31, 'passport_number': 381857, 'snils': '66287471642', 'telephone': '+7-(999)-019-04-40', 'university': 'Новосибирский технический госуниверситет', 'weight': 65, 'worldview': 'Пантеизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Менжинского 710', 'age': 31, 'passport_number': 821467, 'snils': '87269696084', 'telephone': '+7-(929)-122-61-07', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 84, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Новокрымская 799', 'age': 31, 'passport_number': 439214, 'snils': '46746854040', 'telephone': '+7-(963)-958-76-30', 'university': 'Томский национальный исследовательский политех', 'weight': 90, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Измайловская 150', 'age': 31, 'passport_number': 652199, 'snils': '91709990549', 'telephone': '+7-(969)-896-07-48', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 85, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Радиальная 5-я 375', 'age': 31, 'passport_number': 978291, 'snils': '58674832662', 'telephone': '+7-(909)-758-45-55', 'university': 'Московский авиационный институт', 'weight': 61, 'worldview': 'Иудаизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Моссельмаш 287', 'age': 31, 'passport_number': 326751, 'snils': '59055995548', 'telephone': '+7-(930)-239-86-15', 'university': 'Московский авиационный институт', 'weight': 60, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Коновалова 1265', 'age': 31, 'passport_number': 258279, 'snils': '78678456294', 'telephone': '+7-(914)-297-59-82', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 51, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Генерала Белова 12', 'age': 31, 'passport_number': 828793, 'snils': '55218955105', 'telephone': '+7-(914)-826-14-72', 'university': 'САУ им. С.П. Королева', 'weight': 54, 'worldview': 'Агностицизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Серпуховский Вал 539', 'age': 31, 'passport_number': 395910, 'snils': '80424441566', 'telephone': '+7-(999)-289-79-66', 'university': 'Новосибирский технический госуниверситет', 'weight': 41, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'ул. Новые Сады 10-я 1021', 'age': 31, 'passport_number': 724230, 'snils': '84468092946', 'telephone': '+7-(969)-835-27-65', 'university': 'Филиал Российской академии правосудия', 'weight': 75, 'worldview': 'Пантеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Байдукова 58', 'age': 31, 'passport_number': 427719, 'snils': '94108493815', 'telephone': '+7-(968)-564-96-67', 'university': 'Бауманское МГТУ', 'weight': 71, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Нагорная 356', 'age': 31, 'passport_number': 463577, 'snils': '84112073154', 'telephone': '+7-(909)-183-35-58', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 81, 'worldview': 'Католицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Соколиной Горы 3-я 316', 'age': 31, 'passport_number': 432577, 'snils': '34229497591', 'telephone': '+7-(924)-063-21-54', 'university': 'Новосибирский технический госуниверситет', 'weight': 45, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Магистр', 'address': 'ул. Панфилова 1044', 'age': 31, 'passport_number': 607717, 'snils': '95639741975', 'telephone': '+7-(999)-506-95-03', 'university': 'СПбГУ', 'weight': 89, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Потылиха 1354', 'age': 31, 'passport_number': 666414, 'snils': '04721380841', 'telephone': '+7-(999)-745-62-01', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 76, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Ходынская 698', 'age': 31, 'passport_number': 432204, 'snils': '00691579766', 'telephone': '+7-(967)-665-07-49', 'university': 'МГУ им. Ломоносова', 'weight': 50, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Старослободская 936', 'age': 31, 'passport_number': 760380, 'snils': '56775245340', 'telephone': '+7-(920)-877-70-67', 'university': 'Госуниверситет гражданской авиации', 'weight': 53, 'worldview': 'Деизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Лубянская 672', 'age': 31, 'passport_number': 494810, 'snils': '48649725255', 'telephone': '+7-(935)-135-20-33', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 50, 'worldview': 'Католицизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Стекольная 1-я 1318', 'age': 31, 'passport_number': 306680, 'snils': '38716829434', 'telephone': '+7-(947)-862-77-48', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 58, 'worldview': 'Атеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Летчика Бабушкина 122', 'age': 31, 'passport_number': 840577, 'snils': '15497921715', 'telephone': '+7-(965)-275-76-23', 'university': 'Университет аэрокосмического приборостроения', 'weight': 41, 'worldview': 'Буддизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Курская 1211', 'age': 31, 'passport_number': 811896, 'snils': '26883267730', 'telephone': '+7-(904)-650-32-11', 'university': 'МФТИ', 'weight': 41, 'worldview': 'Атеизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Радиальная 8-я 171', 'age': 31, 'passport_number': 278824, 'snils': '03874694706', 'telephone': '+7-(909)-744-56-94', 'university': 'Новосибирский технический госуниверситет', 'weight': 67, 'worldview': 'Буддизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Карелин 965', 'age': 31, 'passport_number': 488808, 'snils': '05111882421', 'telephone': '+7-(977)-221-47-78', 'university': 'Новосибирский технический госуниверситет', 'weight': 72, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Магистр', 'address': 'ул. Продольная 503', 'age': 31, 'passport_number': 903239, 'snils': '35108302433', 'telephone': '+7-(912)-748-16-56', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 56, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Сандуновская 1336', 'age': 31, 'passport_number': 661834, 'snils': '21535705647', 'telephone': '+7-(917)-348-30-29', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 60, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Свиблово 842', 'age': 31, 'passport_number': 956755, 'snils': '84583249038', 'telephone': '+7-(968)-477-49-92', 'university': 'МФТИ', 'weight': 59, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Магистр', 'address': 'Аллея Веневская 932', 'age': 31, 'passport_number': 639471, 'snils': '49157400499', 'telephone': '+7-(990)-428-98-22', 'university': 'Госуниверситет гражданской авиации', 'weight': 50, 'worldview': 'Атеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Суздальская 306', 'age': 31, 'passport_number': 621277, 'snils': '47116896812', 'telephone': '+7-(923)-626-03-04', 'university': 'Госуниверситет гражданской авиации', 'weight': 71, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Безымянная 398', 'age': 31, 'passport_number': 852218, 'snils': '86278273352', 'telephone': '+7-(924)-163-97-63', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 79, 'worldview': 'Деизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Декабристов 792', 'age': 31, 'passport_number': 618902, 'snils': '21573906065', 'telephone': '+7-(961)-708-74-57', 'university': 'Новосибирский технический госуниверситет', 'weight': 85, 'worldview': 'Деизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Спортивная 996', 'age': 31, 'passport_number': 201894, 'snils': '16813197886', 'telephone': '+7-(966)-633-93-73', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 46, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Южнопортовая 175', 'age': 31, 'passport_number': 506666, 'snils': '98094118646', 'telephone': '+7-(968)-964-93-81', 'university': 'Новосибирский технический госуниверситет', 'weight': 53, 'worldview': 'Деизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Лазенки 6-я 20', 'age': 31, 'passport_number': 703586, 'snils': '34616568292', 'telephone': '+7-(927)-494-33-87', 'university': 'Московский авиационный институт', 'weight': 78, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Воротниковская 753', 'age': 31, 'passport_number': 701151, 'snils': '54276634204', 'telephone': '+7-(968)-396-58-91', 'university': 'Госуниверситет гражданской авиации', 'weight': 72, 'worldview': 'Атеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Базовская 201', 'age': 31, 'passport_number': 687007, 'snils': '06678788947', 'telephone': '+7-(909)-972-78-61', 'university': 'Новосибирский технический госуниверситет', 'weight': 63, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Новобутаково 1059', 'age': 31, 'passport_number': 710201, 'snils': '83532744914', 'telephone': '+7-(945)-062-89-53', 'university': 'САУ им. С.П. Королева', 'weight': 65, 'worldview': 'Атеизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Академика Опарина 1067', 'age': 31, 'passport_number': 885635, 'snils': '62513926180', 'telephone': '+7-(909)-486-95-59', 'university': 'СПбГУ', 'weight': 82, 'worldview': 'Деизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Фрезер 296', 'age': 31, 'passport_number': 597393, 'snils': '14268860484', 'telephone': '+7-(919)-864-93-99', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 55, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Песчаный Карьер 582', 'age': 31, 'passport_number': 627502, 'snils': '45007672261', 'telephone': '+7-(909)-535-91-67', 'university': 'Филиал Российской правовой академии', 'weight': 54, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Магистр', 'address': 'ул. Копьевская 901', 'age': 31, 'passport_number': 498289, 'snils': '44693369934', 'telephone': '+7-(909)-239-74-68', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 62, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Уваровская 422', 'age': 31, 'passport_number': 280128, 'snils': '50773846510', 'telephone': '+7-(960)-419-33-55', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 55, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Троицкая 1052', 'age': 31, 'passport_number': 598359, 'snils': '21863294681', 'telephone': '+7-(969)-049-25-30', 'university': 'САУ им. С.П. Королева', 'weight': 74, 'worldview': 'Атеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Ореховая 297', 'age': 31, 'passport_number': 752816, 'snils': '83187388945', 'telephone': '+7-(964)-014-22-38', 'university': 'Бауманское МГТУ', 'weight': 79, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Зеленая 1222', 'age': 31, 'passport_number': 901197, 'snils': '22100107867', 'telephone': '+7-(929)-830-97-60', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 88, 'worldview': 'Католицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Соловецких Юнг 543', 'age': 31, 'passport_number': 174817, 'snils': '56431859108', 'telephone': '+7-(999)-584-41-74', 'university': 'МГУ им. Ломоносова', 'weight': 69, 'worldview': 'Католицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Бирюлевская 315', 'age': 31, 'passport_number': 128907, 'snils': '47664945854', 'telephone': '+7-(999)-020-87-28', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 69, 'worldview': 'Атеизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Орликов 260', 'age': 31, 'passport_number': 857383, 'snils': '34152441237', 'telephone': '+7-(999)-560-21-20', 'university': 'СПбГУ', 'weight': 57, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Бауманская 1151', 'age': 31, 'passport_number': 286269, 'snils': '98044493743', 'telephone': '+7-(914)-615-90-70', 'university': 'Филиал Российской правовой академии', 'weight': 82, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Кравченко 158', 'age': 31, 'passport_number': 269141, 'snils': '53589578153', 'telephone': '+7-(948)-863-04-33', 'university': 'Филиал Российской академии правосудия', 'weight': 59, 'worldview': 'Католицизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Дубровская 2-я 763', 'age': 31, 'passport_number': 119919, 'snils': '96331702104', 'telephone': '+7-(939)-489-61-60', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 87, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Обуха 1108', 'age': 31, 'passport_number': 671975, 'snils': '00916397960', 'telephone': '+7-(999)-089-39-39', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 89, 'worldview': 'Деизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Скорняжная 1038', 'age': 31, 'passport_number': 962651, 'snils': '24426130032', 'telephone': '+7-(968)-699-99-75', 'university': 'Филиал Российской правовой академии', 'weight': 63, 'worldview': 'Пантеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Крупской 1268', 'age': 31, 'passport_number': 330884, 'snils': '80606528893', 'telephone': '+7-(931)-260-57-94', 'university': 'МГУ им. Ломоносова', 'weight': 84, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Савеловская 1070', 'age': 31, 'passport_number': 582106, 'snils': '84087495139', 'telephone': '+7-(999)-515-77-49', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 50, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Магистральная 5-я 1286', 'age': 31, 'passport_number': 772159, 'snils': '73651909016', 'telephone': '+7-(939)-300-91-46', 'university': 'Новосибирский технический госуниверситет', 'weight': 75, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Цезаря Куникова 600', 'age': 31, 'passport_number': 685281, 'snils': '81466122289', 'telephone': '+7-(923)-602-44-76', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 58, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Магистр', 'address': 'Аллея Карьерная 122', 'age': 31, 'passport_number': 180869, 'snils': '96249925365', 'telephone': '+7-(909)-186-45-15', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 45, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Маршала Катукова 1258', 'age': 31, 'passport_number': 108515, 'snils': '88948450900', 'telephone': '+7-(909)-009-24-95', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 84, 'worldview': 'Деизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Народного Ополчения 493', 'age': 31, 'passport_number': 240707, 'snils': '14103913310', 'telephone': '+7-(922)-118-32-44', 'university': 'СПбГУ', 'weight': 42, 'worldview': 'Пантеизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Электродная 747', 'age': 31, 'passport_number': 322162, 'snils': '76194315116', 'telephone': '+7-(909)-719-56-66', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 90, 'worldview': 'Деизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Борьбы 102', 'age': 31, 'passport_number': 336952, 'snils': '22972541082', 'telephone': '+7-(939)-227-86-81', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 56, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Цветочная 831', 'age': 31, 'passport_number': 950500, 'snils': '65685475963', 'telephone': '+7-(909)-078-26-85', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 61, 'worldview': 'Буддизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Чапаева 807', 'age': 31, 'passport_number': 450376, 'snils': '44709318799', 'telephone': '+7-(937)-130-43-31', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 51, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Новодмитровская 126', 'age': 31, 'passport_number': 377928, 'snils': '45513458381', 'telephone': '+7-(939)-658-68-77', 'university': 'МГУ им. Ломоносова', 'weight': 48, 'worldview': 'Католицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Москворечье 795', 'age': 31, 'passport_number': 622057, 'snils': '14700606429', 'telephone': '+7-(960)-278-53-80', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 69, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Живарев 484', 'age': 31, 'passport_number': 221751, 'snils': '27489948966', 'telephone': '+7-(999)-666-68-86', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 87, 'worldview': 'Агностицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Лазаревская 655', 'age': 31, 'passport_number': 826727, 'snils': '20440215798', 'telephone': '+7-(928)-088-60-31', 'university': 'Филиал Российской академии правосудия', 'weight': 64, 'worldview': 'Атеизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Жебрунова 130', 'age': 31, 'passport_number': 940565, 'snils': '05954053679', 'telephone': '+7-(968)-237-76-79', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 76, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Береговая 1112', 'age': 31, 'passport_number': 929302, 'snils': '05903946380', 'telephone': '+7-(965)-076-92-16', 'university': 'САУ им. С.П. Королева', 'weight': 68, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Дашков 534', 'age': 31, 'passport_number': 662642, 'snils': '90411895795', 'telephone': '+7-(939)-223-42-48', 'university': 'Новосибирский технический госуниверситет', 'weight': 43, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Радиоцентр 272', 'age': 31, 'passport_number': 101630, 'snils': '37369043405', 'telephone': '+7-(999)-735-14-01', 'university': 'МФТИ', 'weight': 67, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Академика Понтрягина 1081', 'age': 31, 'passport_number': 209857, 'snils': '96056445328', 'telephone': '+7-(968)-848-10-02', 'university': 'Филиал Российской академии правосудия', 'weight': 70, 'worldview': 'Католицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Ксеньинская 750', 'age': 31, 'passport_number': 386373, 'snils': '93933676359', 'telephone': '+7-(924)-833-17-15', 'university': 'Томский национальный исследовательский политех', 'weight': 56, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Бумажная 1035', 'age': 31, 'passport_number': 452391, 'snils': '81111630535', 'telephone': '+7-(916)-676-07-48', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 41, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Пинская 871', 'age': 31, 'passport_number': 714413, 'snils': '75292445421', 'telephone': '+7-(929)-146-78-14', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 57, 'worldview': 'Буддизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Фестивальная 1210', 'age': 31, 'passport_number': 979983, 'snils': '91266575523', 'telephone': '+7-(920)-178-08-04', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 55, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Красностуденческая 568', 'age': 31, 'passport_number': 444101, 'snils': '28396639642', 'telephone': '+7-(935)-899-50-48', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 41, 'worldview': 'Пантеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. им Баумана 817', 'age': 31, 'passport_number': 779116, 'snils': '65797677897', 'telephone': '+7-(968)-520-54-47', 'university': 'Филиал Российской правовой академии', 'weight': 89, 'worldview': 'Агностицизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Веерная 71', 'age': 31, 'passport_number': 926230, 'snils': '60888916350', 'telephone': '+7-(969)-230-91-01', 'university': 'Московский авиационный институт', 'weight': 80, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Илимская 180', 'age': 31, 'passport_number': 241210, 'snils': '86804429337', 'telephone': '+7-(935)-108-75-12', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 46, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Подрезковская 2-я 1137', 'age': 31, 'passport_number': 130453, 'snils': '80462368899', 'telephone': '+7-(925)-063-97-59', 'university': 'Университет аэрокосмического приборостроения', 'weight': 41, 'worldview': 'Буддизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Мытищинская 1-я 1358', 'age': 31, 'passport_number': 225319, 'snils': '23058206132', 'telephone': '+7-(999)-789-39-95', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 88, 'worldview': 'Католицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Карпатская 1-я 26', 'age': 31, 'passport_number': 460718, 'snils': '71937087932', 'telephone': '+7-(924)-056-04-93', 'university': 'Томский национальный исследовательский политех', 'weight': 73, 'worldview': 'Деизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Жужа 566', 'age': 31, 'passport_number': 482430, 'snils': '98748685518', 'telephone': '+7-(932)-642-11-77', 'university': 'СПбГУ', 'weight': 69, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Кожевническая 206', 'age': 31, 'passport_number': 181047, 'snils': '32289915906', 'telephone': '+7-(930)-052-01-48', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 58, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Татищева 396', 'age': 31, 'passport_number': 587815, 'snils': '60287379202', 'telephone': '+7-(999)-352-10-98', 'university': 'Новосибирский технический госуниверситет', 'weight': 56, 'worldview': 'Пантеизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Оболенская 159', 'age': 31, 'passport_number': 828803, 'snils': '65171541182', 'telephone': '+7-(966)-665-34-16', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 44, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Летниковская 605', 'age': 31, 'passport_number': 844995, 'snils': '47402446271', 'telephone': '+7-(917)-617-56-73', 'university': 'СПбГУ', 'weight': 90, 'worldview': 'Агностицизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Ножовая 312', 'age': 31, 'passport_number': 539423, 'snils': '34059261263', 'telephone': '+7-(962)-896-19-74', 'university': 'Томский национальный исследовательский политех', 'weight': 75, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'ул. Измайловское 405', 'age': 31, 'passport_number': 209011, 'snils': '70870020167', 'telephone': '+7-(999)-295-36-78', 'university': 'Госуниверситет гражданской авиации', 'weight': 83, 'worldview': 'Деизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Рижская 401', 'age': 31, 'passport_number': 987232, 'snils': '68517724337', 'telephone': '+7-(930)-420-40-43', 'university': 'Госуниверситет гражданской авиации', 'weight': 58, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Лыковская 2-я 1133', 'age': 31, 'passport_number': 270766, 'snils': '19008447264', 'telephone': '+7-(968)-025-53-35', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 86, 'worldview': 'Агностицизм'}
